strategy,query_id,type,repeat,latency_us,candidate_count,filter_queries,inverted_lookups,posting_records_read,full_tag_distance_computations
prefuzz,enron_full_000202,text,0,1407,2,5,5,10,2
prefuzz,enron_full_000664,text,0,709,2,5,5,10,2
prefuzz,enron_full_001289,text,0,3,0,5,0,0,0
prefuzz,enron_full_001379,text,0,2,0,5,0,0,0
prefuzz,enron_full_001488,text,0,2,0,5,0,0,0
prefuzz,enron_full_001525,text,0,383,1,5,5,5,1
prefuzz,enron_full_002220,text,0,688,2,5,5,10,2
prefuzz,enron_full_004616,text,0,1393,3,5,5,15,3
prefuzz,enron_full_005913,text,0,414,3,5,5,15,3
prefuzz,enron_full_006211,text,0,82,1,5,5,5,1
prefuzz,enron_full_006276,text,0,84,2,5,5,10,2
prefuzz,enron_full_006379,text,0,2,0,5,0,0,0
prefuzz,enron_full_006771,text,0,75,2,5,5,10,2
prefuzz,enron_full_007411,text,0,2,0,5,0,0,0
prefuzz,enron_full_008064,text,0,76,1,5,5,5,1
prefuzz,enron_full_008136,text,0,2,0,5,0,0,0
prefuzz,enron_full_008648,text,0,68,1,5,5,5,1
prefuzz,enron_full_008924,text,0,77,2,5,5,10,2
prefuzz,enron_full_009142,text,0,958,24,5,5,120,24
prefuzz,enron_full_009200,text,0,76,1,5,5,5,1
prefuzz,enron_full_009568,text,0,2,0,5,0,0,0
prefuzz,enron_full_009735,text,0,2,0,5,0,0,0
prefuzz,enron_full_011924,text,0,371,30,5,5,150,30
prefuzz,enron_full_012156,text,0,89,3,5,5,15,3
prefuzz,enron_full_012651,text,0,64,1,5,5,5,1
prefuzz,enron_full_013576,text,0,66,1,5,5,5,1
prefuzz,enron_full_013941,text,0,78,2,5,5,10,2
prefuzz,enron_full_014539,text,0,95,3,5,5,15,3
prefuzz,enron_full_014678,text,0,152,10,5,5,50,10
prefuzz,enron_full_015568,text,0,73,2,5,5,10,2
prefuzz,enron_full_015698,text,0,62,1,5,5,5,1
prefuzz,enron_full_016017,text,0,275,24,5,5,120,24
prefuzz,enron_full_017189,text,0,74,2,5,5,10,2
prefuzz,enron_full_018163,text,0,2,0,5,0,0,0
prefuzz,enron_full_018755,text,0,65,1,5,5,5,1
prefuzz,enron_full_019153,text,0,65,1,5,5,5,1
prefuzz,enron_full_019201,text,0,83,2,5,5,10,2
prefuzz,enron_full_019604,text,0,2,0,5,0,0,0
prefuzz,enron_full_019949,text,0,74,2,5,5,10,2
prefuzz,enron_full_020401,text,0,2,0,5,0,0,0
prefuzz,enron_full_020951,text,0,67,1,5,5,5,1
prefuzz,enron_full_021195,text,0,93,4,5,5,20,4
prefuzz,enron_full_021224,text,0,8324,367,5,5,1776,638
prefuzz,enron_full_021900,text,0,77,1,5,5,5,1
prefuzz,enron_full_022531,text,0,75,3,5,5,15,3
prefuzz,enron_full_022683,text,0,81,2,5,5,10,2
prefuzz,enron_full_022865,text,0,68,2,5,5,10,2
prefuzz,enron_full_022972,text,0,58,1,5,5,5,1
prefuzz,enron_full_024952,text,0,2,0,5,0,0,0
prefuzz,enron_full_025050,text,0,66,2,5,5,10,2
prefuzz,enron_full_026603,text,0,65,2,5,5,10,2
prefuzz,enron_full_026721,text,0,73,2,5,5,10,2
prefuzz,enron_full_027643,text,0,84,4,5,5,20,4
prefuzz,enron_full_027693,text,0,66,2,5,5,10,2
prefuzz,enron_full_027925,text,0,56,1,5,5,5,1
prefuzz,enron_full_028250,text,0,55,1,5,5,5,1
prefuzz,enron_full_028591,text,0,64,2,5,5,10,2
prefuzz,enron_full_028607,text,0,2,0,5,0,0,0
prefuzz,enron_full_029506,text,0,2,0,5,0,0,0
prefuzz,enron_full_030144,text,0,62,2,5,5,10,2
prefuzz,enron_full_031433,text,0,64,2,5,5,10,2
prefuzz,enron_full_031542,text,0,64,2,5,5,10,2
prefuzz,enron_full_031612,text,0,61,2,5,5,10,2
prefuzz,enron_full_031680,text,0,51,1,5,5,5,1
prefuzz,enron_full_032079,text,0,2,0,5,0,0,0
prefuzz,enron_full_032704,text,0,305,29,5,5,145,29
prefuzz,enron_full_033187,text,0,2,0,5,0,0,0
prefuzz,enron_full_033628,text,0,62,1,5,5,7,2
prefuzz,enron_full_034178,text,0,2,0,5,0,0,0
prefuzz,enron_full_034530,text,0,2,0,5,0,0,0
prefuzz,enron_full_035481,text,0,2,0,5,0,0,0
prefuzz,enron_full_035578,text,0,2,0,5,0,0,0
prefuzz,enron_full_035695,text,0,2,0,5,0,0,0
prefuzz,enron_full_035726,text,0,2,0,5,0,0,0
prefuzz,enron_full_035827,text,0,2,0,5,0,0,0
prefuzz,enron_full_035969,text,0,2,0,5,0,0,0
prefuzz,enron_full_035998,text,0,2,0,5,0,0,0
prefuzz,enron_full_038008,text,0,2,0,5,0,0,0
prefuzz,enron_full_040212,text,0,2,0,5,0,0,0
prefuzz,enron_full_040615,text,0,71,2,5,5,10,2
prefuzz,enron_full_041235,text,0,58,2,5,5,10,2
prefuzz,enron_full_042132,text,0,52,1,5,5,5,1
prefuzz,enron_full_045885,text,0,58,2,5,5,10,2
prefuzz,enron_full_046009,text,0,54,2,5,5,10,2
prefuzz,enron_full_046306,text,0,57,2,5,5,10,2
prefuzz,enron_full_046840,text,0,63,2,5,5,10,2
prefuzz,enron_full_047084,text,0,2,0,5,0,0,0
prefuzz,enron_full_047376,text,0,64,3,5,5,15,3
prefuzz,enron_full_047738,text,0,53,2,5,5,10,2
prefuzz,enron_full_047772,text,0,2,0,5,0,0,0
prefuzz,enron_full_048185,text,0,1,0,5,0,0,0
prefuzz,enron_full_048713,text,0,2,0,5,0,0,0
prefuzz,enron_full_049016,text,0,2,0,5,0,0,0
prefuzz,enron_full_049875,text,0,2,0,5,0,0,0
prefuzz,enron_full_050163,text,0,50,1,5,5,5,1
prefuzz,enron_full_050258,text,0,50,1,5,5,5,1
prefuzz,enron_full_050705,text,0,2,0,5,0,0,0
prefuzz,enron_full_050719,text,0,2,0,5,0,0,0
prefuzz,enron_full_051118,text,0,2,0,5,0,0,0
prefuzz,enron_full_051633,text,0,2,0,5,0,0,0
prefuzz,enron_full_052109,text,0,88,6,5,5,26,6
prefuzz,enron_full_052243,text,0,125,10,5,5,50,10
prefuzz,enron_full_052699,text,0,1,0,5,0,0,0
prefuzz,enron_full_052941,text,0,2,0,5,0,0,0
prefuzz,enron_full_053517,text,0,1,0,5,0,0,0
prefuzz,enron_full_053522,text,0,1,0,5,0,0,0
prefuzz,enron_full_054174,text,0,2,0,5,0,0,0
prefuzz,enron_full_055270,text,0,2,0,5,0,0,0
prefuzz,enron_full_055462,text,0,51,1,5,5,5,1
prefuzz,enron_full_056138,text,0,98,1,5,5,13,9
prefuzz,enron_full_056670,text,0,47,1,5,5,5,1
prefuzz,enron_full_056953,text,0,2,0,5,0,0,0
prefuzz,enron_full_057268,text,0,52,1,5,5,5,1
prefuzz,enron_full_057321,text,0,2,0,5,0,0,0
prefuzz,enron_full_057826,text,0,2,0,5,0,0,0
prefuzz,enron_full_058046,text,0,52,1,5,5,5,1
prefuzz,enron_full_058254,text,0,48,1,5,5,5,1
prefuzz,enron_full_058415,text,0,2,0,5,0,0,0
prefuzz,enron_full_059797,text,0,482,56,5,5,280,56
prefuzz,enron_full_060370,text,0,79,4,5,5,20,4
prefuzz,enron_full_060846,text,0,50,1,5,5,5,1
prefuzz,enron_full_062151,text,0,65,2,5,5,10,2
prefuzz,enron_full_062439,text,0,69,1,5,5,5,1
prefuzz,enron_full_063833,text,0,57,1,5,5,5,1
prefuzz,enron_full_063839,text,0,53,1,5,5,5,1
prefuzz,enron_full_064172,text,0,56,1,5,5,5,1
prefuzz,enron_full_064231,text,0,51,1,5,5,5,1
prefuzz,enron_full_064607,text,0,55,1,5,5,5,1
prefuzz,enron_full_065332,text,0,54,1,5,5,5,1
prefuzz,enron_full_065814,text,0,53,1,5,5,5,1
prefuzz,enron_full_066742,text,0,2,0,5,0,0,0
prefuzz,enron_full_067365,text,0,83,4,5,5,20,4
prefuzz,enron_full_067727,text,0,57,1,5,5,5,1
prefuzz,enron_full_067752,text,0,51,1,5,5,5,1
