id,type,tag_hex
enron_000001,text,a7a421c0fb0b819b32c8fcbdef766b0aad861e6c14108468eebb7ae278ef7e04
enron_000002,text,0166bd1870df6f8765b0da7192174e5aa66c1d2016801ce3851de2d03faa3a92
enron_000003,text,416c9237ebbbfbf11c8e3b7029ee92f28ec65cc34429a21346df4066a6d1ee82
enron_000004,text,942492f9b7785871870f3334258f122155283b729640a78862cbdb0473c23bd6
enron_000005,text,77e4784b14ffc6deadbbb705b298fada82a7087b30b465fcefbea9109032f2c0
enron_000006,text,38b1ca11ee0776f09b8969935b3f4c1ee776fea1417f830f3a2e639c1c70d51d
enron_000007,text,cb94749055b0d2304f2af1e29ddc3c29c87f8f38de71dbafa288616bc365fafd
enron_000008,text,62288c0fd90b0aacc87d8d9f91bc5c825f8319d200cce891ed83333e9cdd53d2
enron_000009,text,84f6f7137ff40f16b55ed57d8b9b66f84f9e94463d3cdf4d6e3aba1d753f5184
enron_000010,text,873e0aab4be4c8d3bc295386ac3416f463e3a0f488143faf58f3b9aa3cffff04
enron_000011,text,090752cbdb278a687abc92543afe53b11a92527e2e14e38001c5c9a6083c8ac6
enron_000012,text,e5d69ce1a0f6213218c46f4f9d0a8993ef95b2b42b5d77b2e41836ed5b80c43d
enron_000013,text,ff55295878d509839034720388ebdf43bee0bfa338d1e44a584cb8e08fa5c9da
enron_000016,text,20aedfc4846cbc316e62cf519c728bf9201991bba6b82c34f8240f63bae43002
enron_000017,text,fc97e43cba9acdfecbeca98ef7aded64fed77faaeaee7d5cdbc79eab7b8d9cb7
enron_000020,text,8302b909966dd66dab98c476a7b5211741bd3bafb0946f849d711f25ac765800
enron_000021,text,da72f90914e17cc96b11847696b1572e4a9f2aba99f5fdaeadf50fefd0e27aa4
enron_000023,text,14048ad7ccd93560e9f84cd9ea9ff935b62c397bc23a01c2cd4498379ed4dfda
enron_000024,text,58f443f2c1c009dfaf744c53f7b9aea8b4c5ec2f9bbcb978fabf3464515d7ad9
enron_000027,text,9f56719ec76d8a7cea3aa576af755e3c523b2bafbecd29ea91f30d114836e950
enron_000028,text,92f45bb6c40b16eca07acaf757a3a2a84b7fb00e929b2a4aaede371ab255903c
enron_000029,text,45fc52126980ca633b8a1e4aef6468828842fd527e5179431dde0da17a5acf7e
enron_000030,text,610dda6a7e26723bcfeb9f49371e0a6a4fcf5588757cc453585d3ca83dc3cbbf
enron_000031,text,db3bb9de8a6f7aea75bc4ab1d8fe4e77ffd395389877231e0ffc1befd8ffbc65
enron_000032,text,28a885291a3f2c799737bf466a8200e9becf5ffe54f9feac8526c0aed9e44385
enron_000033,text,9cd1632634cf5b6ffb1c09a25d09d2332ae0d5469e63dfd643f4c072093a14dd
enron_000034,text,a72c1543fa9cd2c1328ef372af5d360a30af1217f03c6dee29c9089e8d7b8fca
enron_000035,text,04c2c0681bf748c2effb304e208acab268680c9f2f55908f1000270f783c3404
enron_000038,text,8d6e25bed67cf5df6f8df7fafbbdfbb5e9fbe77def5b757ff0eefde6efbdbfd9
enron_000039,text,fd3dcaf70b3bf2b7c3363ee363ae84f8e8ef4f2d6a244bf5e5fc3efc1ff47fc3
enron_000040,text,ff2388415608c6c56295b4369d9104024afc32e89857372e207908e768e3f584
enron_000041,text,3c2fc6af78cf1e21b67299806d53d63a3e72c6eaaade1bf3da280300af11658a
enron_000042,text,929cf094ffbbb2d7211e7557d33f575e1613edbcf5f55bddbbd238e603621797
enron_000043,text,5fa3b097d2eb0afcd9b1d254a851349b60387af4ee177db91fd3f9c785b0cb00
enron_000044,text,f51f7f3fadff4f9ffcff1f3b3e9cfe3bec5f65cdbfff7abefdfd7bff8b7b37e9
enron_000045,text,da42ce856557823ebbd69c3b3895b105cdb30072f0e7611f42932565a57eabba
enron_000046,text,23ee2b4f2251b4937e9f5ff78f23a30257bf28f2db67a29e121cfe687828fa1c
enron_000048,text,6edd603e6b1fbc5c3eee2652fb4e4fa4c1a572ff658c7a4606dcde9e514b2862
enron_000049,text,c729d0d4fbc7f9bbcd863ec8f6feb7ba6f7953893f78f56c4adfe77fabd500cb
enron_000051,text,2e048d6a5eed6d1fc44bffb917e8236199ff6a7bbdcc77f36a17123d64d61efe
enron_000052,text,956ddadb3feddbced5f84027d4c9ba0db840794f3f3ffe9e73518e248b3e8abb
enron_000053,text,430a6a157e45f71041fd12f21955aab135e33e56852273b9cbfe04be4c2f6ab2
enron_000054,text,fefccef7e33debb11e0f5ef372c7b4e0aee3d64bb7d5d27cd9b87ba2dfd2bfb7
enron_000056,text,ef6dedafeffe5edbb2e67dff7fba4d7ef7f2dfffbbbdec7bffdfef3fe47fcfdb
enron_000057,text,0cc261bf2184bbf0188cb62321ab88bacfa61c274f9a6d99e9bb36358427c086
enron_000058,text,22621a59cf34ebccb9aaa32ab37c5737efbf0d74e0767ab7677e0b351efa1950
enron_000059,text,10a7527ddecada11d717f6879f47ba5a8cf72cfe6a2027bd437179a15951dbb2
enron_000060,text,8176b0fbc97d1b79b903becdcfcc373eb9a78a1404f6beb3a7d1db9538039362
enron_000061,text,6fc2fa524e0f3ce313c83245dd98d2a5ac5c3b94da2771161ff06813c93b2edf
enron_000063,text,a1df31250374cd19dfe57900c4e37349eac838d999e250cb89769a455cef35f9
enron_000065,text,e4409876904eda699fef5c14bed260f25201dce5114189f3d4994a5615ef2db4
enron_000067,text,cd3cfb87feafbda33eebbbd9efe99eecdbbded9db4bfaac79f89d8dcfbca9f3d
enron_000069,text,a6abf689a356dd58dcf93f9a7a2c78e2bef9b36b8fb52e8f9fa31fc6b9304df3
enron_000070,text,28b5f7e650554ac6a7b257d578f82d7184c319ceb39b4fbb583e9bb04b75138a
enron_000071,text,156f9ff7c6ba4aff37f8127da5fef3966c7f89af1c1196fb1a791e3fbda229e3
enron_000073,text,2b2ba88fdf67decad9bc1786b7dcb551e2b966ff76de37bf6dd499968c87d8f6
enron_000074,text,d45239f043a5f7eb263c579376d546bf17713f795c9d761ca27b7c61c125ae8e
enron_000076,text,49024c0caaf5fe7cfa08b2602b1c888bd293271159edff44a0f856e7f326afc8
enron_000077,text,63b8ec0c1a3e3dd258b40fed81ecfcc4bb637fe7c3a401327aa81178827f7259
enron_000078,text,7342784b96ffd4de2bbba755b298d3d2c8260a3b39a565a2e9b7a98190f25200
enron_000079,text,4244ba4b50ffc46aeeb3b205b00bb3f8919e082f39a4e574e3bceb108452e081
enron_000080,text,e77688859e65b07b6bbe97a7f79f2757fcbc6bbcf8daef2e31c4dacf90a68382
enron_000081,text,a845ca7777b16af613cac7456c83e25ecb9db1da551882f2024854fa4195f2f4
enron_000083,text,9434c6c01909b8bbef0c973e9dc7e3bf3092383e4c54d671e2463216217ef2bf
enron_000084,text,1a22415a0fb2d141f0a8d72da7fd439df817953b91a7aaa34371d1b4e8117b74
enron_000085,text,715c79f0902d66139c27160d72b212a8ff2556870684bbd31088438f614cd2ec
enron_000086,text,f40e39b7a632d919614eda6b43dba1e45c8a1dc453234e0fd746cfb4923cabbe
enron_000087,text,f4db635912c29ec6e474de49ef027d43a82d7f64b47ce05a199013db80335d58
enron_000088,text,73039bcfcfef9aea4bb81456b7b4571f0abd3abaf8f57ab6cffd9bb590baca06
enron_000089,text,eb8a558552fe8a7e3338344eb8f4b1b069ba0ae77d08ee8d23a4d3e59448af85
enron_000090,text,3762980bfaac176d2931125582f6163fee400fb9bb9da5ab77ed7c6390b222e2
enron_000092,text,8302b909966dd66dab98c476a7b5211741bd3bafb0946f849d711f25ac765800
enron_000093,text,b3bc7720f41a695899e1f39e8b75756a77e79aea3300ff1f6a6742e76883aa40
enron_000095,text,b0433a9c54762b4452ad7c56b34c679809b2874008360e947ff1efd08fc50d23
enron_000096,text,02173673d232527dac827e1529ae4a01fc47caba1657d8a3013a7fe698e74f52
enron_000097,text,f962782654de3ec12f51dcf4e635ee7a945dc8b8dd00dc256a469c182731011d
enron_000098,text,9f16319ec66d8efdcababd728fd5de3c12322ebfbacf2ba291df8b005836e7e0
enron_000099,text,68b1a75dddbfbf98816d18d2a2dcc1ac82fe313496edd92be58b05e61d80993e
enron_000100,text,e474c813b708c660bf07d39a8f7db3fad6f63bef9f3f4a8471c6eef67146d7e8
enron_000101,text,9236c63beaee4bb66ebe54d152cad984b4ceba6355153ad2cdc87f3237002d3d
enron_000103,text,7401a5520ffefa37cf44ad945fc29897f252f97bd167034dbefdce2ba11b4fe1
enron_000104,text,082d9b9975b97f1296e3cb1b36da93d2ac030ae2a04a2bb7e47e83aac5d56524
enron_000106,text,b2feba2013c567bcf0d7f48cd2fdf82e83fdaabd9f3777dce73bb3a9bbd9cecf
enron_000107,text,2d77dc3cda7fecfe15066b5fb1e066e7cb48eefeee8b1b64d5bf9f649f00e97b
enron_000108,text,e50fdfa745ff22fe812eb2954bc3aad574f347248b1d8ca3fb77075c1eff3dea
enron_000109,text,fe7ccf4002f07a91a9723eb97ac72fe3e87f5cc391f4bcae57fec3bf4155613c
enron_000110,text,c4f13cf1d3d1398e23985b66b12efe4e8627c19868a2d562814bc7df2c27bcea
enron_000113,text,7269f743f1e15fcab08f396936b57e16a9cc15c2cab514a997a482d36f40018e
enron_000114,text,f066221980be0c19e5f5df86d5fd3eed78c9ef755ca6e9b17182fa508c2a4c5a
enron_000115,text,e005d20d8e6fc9c89845d5462edb67b6ebf02e86dc2ca502224a062788b5d00a
enron_000116,text,aa07c9b7c5045e2777bb17d7d79a366f3d9302c29410e2b66afa82faab77f75c
enron_000117,text,b90ed0afa6adc42fd09bbabd0c63d3665cc1a2c88b3a51c97692594860d6d4bb
enron_000118,text,c176b0f3cd7d1b7bb903becdcbcc3f36b9a78a1444d7beb3a7d4db95b8039362
enron_000119,text,75c90a97f1cfa8f3f5f7b7a8476856131ad25f29597281131ca7fea942fc8f67
enron_000121,text,3f4d3d47ded65e23db46b14d211fa27d4a9954f6db2e57f5ba34d9a8f5f95452
enron_000122,text,9b47b809546ad68c72558c373df1c4064afc30f49815fda680911ee770f3728e
enron_000123,text,d166edec474673cfcf81e7fa11f4f55115d32e3511107f67ed84824be136639f
enron_000125,text,e2f91dd6109181d3f5fc8fa53bd33f89bb96ddb0d296fd4bc5e2d6870d5ed1a8
enron_000129,text,63f6d24d8fbe9b6ad83b914cdd70749fdfb7ba8478e26794db75db748402f826
enron_000131,text,d27def5cbb6f67ef0b37e886c40d6c99847d3193272f1aff70b1cafeb543f77b
enron_000132,text,eb7a9f0996a1794d6950ae74daaa33b86fd47eafd9f5f1a6dbdb1db6f0fa64e2
enron_000133,text,761e48def3a25adc63365a5116dd811070956317711419102b349117cdf44a47
enron_000134,text,166f02874eb5e2a396eb657e9c397caea52905733fb1cc7a5c299dc7d7933f8a
enron_000135,text,1224f335f28aa564171381ab9e0c67cc10be8f19d4dbc1e62915b28d6a2dfc70
enron_000137,text,5d9227a2449c44700ac03763d017a0e6da256c7a3193fcafe5298aae91cb3883
enron_000138,text,c404b2059fa2906ace2654165a732906406312d49a683200e27cb08e7bd46bbb
enron_000139,text,0b1dd39dc79881069b9c11bd2489338f312eb42dadfcf6cc671b72d5059b7e0c
enron_000142,text,c56c1847792fbed9e628a4398d4e6d96273d55c69bab24af59a1f888e494b892
enron_000145,text,f5bc9da4be11a10bbb93cafd06b013940e0937c8f7d9c7eef3d7095387e695d0
enron_000146,text,84f83dc06bb948eceb99366f16552c82900e1252514df0265fda1aa8ae293986
enron_000147,text,4bf432693e517e1f1c60c3c195f8a09d8a0e34749f87359681f50f35921cdcde
enron_000148,text,34c99710fd7afbadde6ace0fd96ab98378a79d888d9f33db37d356be30e77aeb
enron_000149,text,a0bd01acbd7856e6a3e0241d3bd00176accf34ef31b4cf8d761efee252ec81cd
enron_000150,text,2bcdebac65c056ddffe426bffe9b1b730c86d4eed7b006fd82ff6e8bc37913ff
enron_000151,text,0121b9d770477906f13e8f907f24e687acf1358665293d7aede079f3620bf0d9
enron_000152,text,637566003b1774e377bd073c9d9aca56625d9254d4a6b5b461e410a913bdf65a
enron_000154,text,5ef2afcbf7ffbed3de7380bfe17c0c611f8559fd578a569ae6fc94d92dc5dffb
enron_000155,text,5f69a9b4e18e1afe45b9b03671b2dc2b445f8a3a4ca7c65c72ec96a860fa8b0b
enron_000157,text,7db4598efacfda7764841cfeb5c96b6a74ae905b549b459ddef2b578b386ddd2
enron_000158,text,e392243f767466ce9e873036811f0647ed4cbfef29ccb7c3ff913ed0217e3607
enron_000159,text,36e7b54a3f08c6edc4d3e7398a49ecaa692a9796eb9bf5be39bf6869416fdc6f
enron_000160,text,a2bd05aebd7856c77ba004593bd80176acdf34ef35b4cf8d760efee252ec8d8d
